# OSM tag descriptions © OpenStreetMap Wiki contributors
# Licensed under Creative Commons Attribution-ShareAlike 2.0 (CC-BY-SA 2.0)
# https://creativecommons.org/licenses/by-sa/2.0/
# Source: https://wiki.openstreetmap.org — generated by cmd/build-dictionary
key,value,description
natural,tree_row,A line of trees.
natural,bare_rock,"An area with sparse or no vegetation, so that the bedrock becomes visible"
natural,coastline,The line between sea and land indicating mean high water (springs): the water lies on the right side of the way.
natural,peak,The top (summit) of a hill or mountain.
natural,cliff,"A vertical or almost vertical natural drop in terrain, usually with a bare rock surface. The bottom of the cliff is on the right side of the way."
natural,heath,"A dwarf-shrub habitat, characterised by open, low growing woody vegetation, often dominated by plants of the Ericaceae."
natural,sand,An area covered by sand with no or very little vegetation.
natural,scree,Unconsolidated angular stones formed by rockfall and weathering from adjacent rock faces.
natural,shrub,"A small to medium-sized single shrub, usually less than 6 meters tall."
natural,spring,A place where ground water flows naturally from the ground
natural,ridge,A mountain landform with a continuous elevated crest or linear hill
natural,rock,A notable rock or group of rocks attached to the underlying bedrock
natural,beach,"Landform along a body of water which consists of sand, shingle or other loose material."
natural,reef,"A feature (rock, sandbar, coral, etc) lying permanently beneath the surface of the water."
natural,glacier,A permanent body of ice formed naturally from snow that is moving under its own weight.
natural,shrubbery,An area of woody shrubbery that is actively maintained or pruned by humans. A slightly wilder look is also possible.
natural,bay,Named area of water mostly surrounded by land but with level connection to the ocean or a lake.
natural,stone,"A single notable freestanding rock, which may differ from the composition of the terrain it lies in."
natural,shingle,An accumulation of rounded rock fragments on a beach or riverbed.
natural,saddle,The lowest point along a ridge or between two mountain tops.
natural,cave_entrance,An entrance to a cave: a natural underground space large enough for a human to enter
natural,hill,"A hill is a landform that is elevated above the surrounding terrain, but is smaller than a mountain."
natural,valley,A natural depression flanked by ridges or ranges of mountains or hills
natural,land,"Using this tag is discouraged, use multipolygon relation for islands in lakes and rivers or tag:natural=coastline and tag:place=island for islands in the sea instead."
natural,cape,A piece of elevated land sticking out into the sea or large lake.
natural,sinkhole,A natural depression or hole in the surface topography.
natural,landform,A various geological features.
natural,crevasse,A large crack in a glacier
natural,mud,Area covered with mud: water saturated fine grained soil without significant plant growth.
natural,fell,"Habitat above tree line covered with grass, dwarf shrubs and mosses."
natural,earth_bank,Large erosion gully or steep earth bank.
natural,gully,Small scale cut in relief created by water erosion.
natural,tree_stump,A base remaining from a cut down or broken tree.
natural,volcano,An opening exposed on the earth's surface where volcanic material is emitted.
natural,strait,A narrow area of water surrounded by land on two sides and by water on two other sides.
natural,grass,"Area, typically covered by grass."
natural,birds_nest,A natural bird's nest.
natural,arete,"A thin, almost knife-like, ridge of rock which is typically formed when two glaciers erode parallel U-shaped valleys"
natural,tree_group,Small group of trees.
natural,mountain_range,"A mountain range, a series of high ridges and mountain peaks ranged in a line and connected by high ground."
natural,shoal,An area of the water floor which nears the water surface and is exposed at low tide or when a river/lake is not full of water.
natural,hot_spring,A spring of geothermally heated groundwater
natural,yes,
natural,islet,
natural,termite_mound,A termite mound is the aboveground part of a termite nest.
natural,dune,"A hill of sand formed by wind, covered with no or very little vegetation"
natural,landslide,Debris fields from large-scale down-slope earth movements.
natural,peninsula,"A piece of land projecting into water from a larger land mass, nearly surrounded by water"
natural,slope,
natural,blockfield,An area covered by boulder- or block-sized rocks.
natural,tundra,"Treeless cold climate habitat with open, low growing sedges, grasses, mosses and lichens."
natural,geyser,A spring characterized by intermittent discharge of water ejected turbulently and accompanied by steam
natural,gorge,"A narrow valley with steep, rocky walls"
natural,ground,
landuse,forest,"Forest or woodland, sometimes considered to be restricted to managed woodlands or tree plantations."
landuse,wood,"Using this tag is discouraged, use tag:natural=wood or tag:landuse=forest instead."
landuse,grass,"A smaller area of grass, usually mown and managed."
landuse,meadow,"An area of meadow or pasture: land primarily vegetated by grass and other non-woody plants, mainly used for hay or grazing."
landuse,greenfield,Undeveloped land scheduled to turn into a construction site
landuse,recreation_ground,"An open green space for general recreation, which often includes formal or informal pitches, nets and so on. Often municipally owned, sometimes part of colleges / companies or commercially operated."
landuse,village_green,A village green is a distinctive area of grassy public land in a village centre. Not a generic tag for urban greenery.
landuse,allotments,allotment gardens with multiple land parcels assigned to individuals or families for gardening.
waterway,river,"The linear flow of a river, in flow direction."
waterway,canal,"An artificial open flow waterway used to carry useful water for transportation, waterpower, or irrigation."
waterway,stream,A naturally-forming waterway that is too narrow to be classed as a river.
waterway,drain,"An artificial free flow waterway used for carrying superfluous water, usually lined with concrete."
waterway,ditch,"A small artificial drainage waterway, usually unlined."
waterway,dock,"An enclosed area for ships or boats within which the height of the water can be managed, or a dry dock."
waterway,weir,A barrier built across a river to control water speed and depth. Designed to let water flow over the top all the time or at least in specific conditions.
waterway,dam,A barrier built across a river or stream to block and regulate the flow of the river.
waterway,waterfall,A place where water flows over a vertical drop or a series of drops in the course of a stream or river.
waterway,lock_gate,A gate of a lock used to raise or lower boats.
waterway,boatyard,"A place for constructing, repairing and storing vessels out of the water."
waterway,fuel,A place to get fuel for boats
mooring,yes,
mooring,private,
mooring,no,
mooring,commercial,
mooring,guest,Jetty for guests.
mooring,ferry,
mooring,waiting,
mooring,yacht,
mooring,cruise,Cruise pier
mooring,yachts,
mooring,declaration,
mooring,pile,
mooring,permit,
mooring,customers,
mooring,visitor,
mooring,commercial;cruise,
mooring,Yes,
mooring,unknown,
mooring,canoe,
mooring,lock_landing,
mooring,privateq,
mooring,buoy,
mooring,ring,
mooring,cruise;commercial,
mooring,public,
mooring,yesSharp's Island (Njuyeera),
mooring,shop,
mooring,guests,
mooring,services,
mooring,pleasure_craft,
mooring,monobuoy,
mooring,canoes,
mooring,dry_storage,
mooring,houseboat,
mooring,emergency,
mooring,yesq,
mooring,permissive,
mooring,post,
mooring,decleration,
mooring,tanker,
mooring,rings,
mooring,mooring_pile,
mooring,noq,
mooring,redgreen,
mooring,dinghy,
mooring,bridge_landing,
mooring,Y,
mooring,bollard,
mooring,canoas,
mooring,pilot,
mooring,destination,
mooring,spm,
mooring,yes;commercial;guest;provisioning,
mooring,service,
mooring,vacuum_mooring,
mooring,mooringg point,
mooring,guest;waiting,
mooring,passengers,
mooring,síq,
mooring,fire_brigade,
man_made,pier,Raised walkway over water supported by pillars or floating and secured.
man_made,breakwater,A man-made structure designed to protect a shore or harbour from the sea and waves.
man_made,lock_gate,
man_made,dam,
man_made,weir,
man_made,bridge,"The outline of a bridge, grouping together all features for that bridge."
amenity,parking,A place for parking cars.
amenity,parking_space,A single parking space on a parking lot.
amenity,bench,"A place for people to sit, allowing room for one or more people."
amenity,place_of_worship,A place where religious services are conducted.
amenity,restaurant,"A restaurant sells full sit-down meals with servers, and may sell alcohol."
amenity,school,A primary or secondary school (pupils typically aged 6 to 18).
amenity,waste_basket,A single small container for depositing garbage that is easily accessible for pedestrians.
amenity,bicycle_parking,A parking space designed for bicycles.
amenity,shelter,A small structure for protection against bad weather conditions
amenity,fast_food,A place which offers self-service and take-away food.
amenity,cafe,A generally informal place with sit-down facilities selling beverages and light meals and/or snacks.
amenity,recycling,A container or centre that accepts waste material for reuse or recycling.
amenity,fuel,A retail facility for refueling motor vehicles
amenity,toilets,Indicates publicly accessible toilets.
amenity,pharmacy,A shop where a pharmacist sells medications.
amenity,bank,"A financial establishment where customers can, among other services, deposit money and take loans."
amenity,post_box,A box to deposit outgoing postal items.
amenity,drinking_water,A drinking water source which provides potable water for consumption.
amenity,vending_machine,"A vending machine sells food, drinks, tickets or other goods automatically."
amenity,kindergarten,A place for looking after preschool children and (typically) giving early education.
amenity,waste_disposal,"A medium or large disposal bin, typically for bagged up household or industrial waste."
amenity,hunting_stand,"An open or enclosed platform used by hunters to place themselves, usually at an elevated height above the terrain."
amenity,parking_entrance,An entrance to an underground or multi storey parking facility.
amenity,bar,
amenity,atm,A device that provides the clients of a financial institution with access to financial transactions.
amenity,hospital,A hospital providing in-patient medical treatment.
amenity,clinic,"A clinic is a medical centre, with more staff than a doctor's office, that does not admit inpatients."
amenity,community_centre,"A place mostly used for local events, festivities and group activities."
amenity,post_office,A place where letters and parcels may be sent or collected.
amenity,doctors,"A doctor's office, a place to get medical attention or a check up from a physician."
amenity,pub,
amenity,fountain,"A fountain with cultural, decorational or historical significance or which serves a recreational purpose."
amenity,charging_station,A location where battery electric vehicles can be charged.
amenity,social_facility,A facility that provides social services.
amenity,townhall,A townhall serves as a community administrative center or meeting place.
amenity,police,A police station is a facility where police officers patrol from and that is a first point of contact for civilians.
amenity,grave_yard,"A place where people (or sometimes animals) are buried, usually close to a place of worship."
amenity,dentist,A dentist practice / surgery.
amenity,fire_station,A station from which a fire brigade operates.
amenity,car_wash,A facility used to clean the exterior of motor vehicles
amenity,library,A place to read and/or borrow books.
amenity,marketplace,A marketplace where goods and services are traded daily or weekly.
amenity,parcel_locker,Machine for picking up and sending parcels.
amenity,bicycle_rental,"A place, often unattended, where you can pick up and drop off rented bikes."
amenity,telephone,A public telephone.
amenity,childcare,A place where children are looked after which is not a kindergarten.
amenity,college,"A place for further education, a post-secondary education institution which is not a University"
amenity,bus_station,"A bus station would usually be a terminus where many routes stop / start, and where you can change between routes, etc."
amenity,ice_cream,A place that sells ice cream and/or frozen yoghurt over the counter.
amenity,veterinary,"A place that deals with the prevention, diagnosis and treatment of disease in animals."
amenity,university,"An educational institution designed for instruction, examination, or both, of students in many branches of advanced learning."
amenity,theatre,"A place where live performances occur, such as plays, musicals and formal concerts."
amenity,taxi,A place where taxis wait for passengers. Often near where many people congregate.
amenity,motorcycle_parking,A place which is designated for parking motorcycles.
amenity,bbq,A permanently built place for having a BBQ.
amenity,public_bookcase,"A street furniture containing books. Take one, leave one."
amenity,letter_box,Private mailboxes where mailmen or other people deposit letters to specific addresses.
amenity,water_point,A place where you can get large amounts of drinking water for refilling fresh water holding tanks.
amenity,grit_bin,"A container that holds sand, salt and gravel to spread on roads for winter safety."
amenity,loading_dock,A loading dock is an entrance to a building used for loading and unloading goods vehicles.
tourism,information,"Information for tourists and visitors, including information offices"
tourism,hotel,Hotel – an establishment that provides paid lodging.
tourism,artwork,A public piece of art.
tourism,viewpoint,"A place worth visiting, often high, with a good view of surrounding countryside or notable buildings."
tourism,attraction,"An object of interest for a tourist, or a purpose-built tourist attraction"
tourism,guest_house,"Accommodation smaller than a hotel and typically owner-operated, such as bed&breakfasts etc."
tourism,picnic_site,"A locality that is suitable for outdoors eating, with facilities to aid a picnic such as tables and benches."
tourism,camp_site,"An area where people can camp overnight using tents, camper vans, or caravans."
tourism,camp_pitch,A tent or caravan pitch location within a campsite or caravan site.
tourism,museum,"A museum: an institution with exhibitions on scientific, historical, cultural topics"
tourism,chalet,A holiday cottage with self-contained cooking and bathroom facilities.
tourism,apartment,A furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations.
tourism,hostel,Cheap accommodation with shared bedrooms.
tourism,motel,"Short term accommodation, particularly for people travelling by car."
tourism,caravan_site,A place where you can stay in a caravan overnight or for longer periods.
tourism,gallery,An area or building that displays a variety of visual art exhibitions.
tourism,wilderness_hut,"A remote building, typically unserviced, providing temporary shelter and sleeping accommodation."
tourism,alpine_hut,A remote building located in the mountains intended to provide board and lodging.
tourism,theme_park,"An amusement park where entertainment is provided by rides, games, concessions."
tourism,yes,A general tourist attraction.
tourism,zoo,"A zoological garden, where animals are confined for viewing by the public."
tourism,aquarium,A facility with living aquatic animals for public viewing.
tourism,trail_riding_station,Offers temporary accommodation for guest horses and usually also for riders.
tourism,checkpoint,
tourism,cabin,
tourism,no,
tourism,wine_cellar,"A wine cellar, a storage room for wine in bottles or barrels."
tourism,hunting_lodge,Small country property specifically used for organising hunting parties or small cabin used by hunters during hunting trips.
tourism,lean_to,
tourism,giant_furniture,
tourism,resort,"Using this tag is discouraged, use tag:leisure=resort or tag:leisure=beach_resort or tag:tourism=hotel instead."
tourism,picnic_table,
tourism,spa_resort,"An establishment offering relaxing treatment for health and beauty, the types that are called spa-treatments. Should involve some kind of bathing."
tourism,disused_camp_site,
tourism,nature_centre,
tourism,winery,"Deprecated, please use tag:craft=winery, tag:shop=wine, tag:industrial=winery or tag:shop=alcohol."
tourism,register,
tourism,guest_house;apartment,
tourism,holiday_village,
tourism,ruins,
tourism,sign,
tourism,hut,
tourism,hanami,
tourism,park,
tourism,rv_pitch,
tourism,photopoint,
tourism,tours,Type of guided tours offered for tourists and visitors.
tourism,apartments,
tourism,valley,
tourism,exhibit,
tourism,camp_lodging,
tourism,construction,
tourism,holiday_park,
tourism,hotel;motel,
tourism,monument,
tourism,narrow_gauge_railway,
tourism,self_catering,
tourism,memorial,
tourism,preserved_railway,
tourism,tower,
historic,memorial,"Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places."
historic,wayside_cross,"A historical cross along a way, symbol of Christian faith."
historic,archaeological_site,A place in which evidence of past activity is preserved.
historic,yes,Used to add the historic significance of the objects described by other tags.
historic,ruins,"Remains of structures that were once complete, but have fallen into partial or complete disrepair."
historic,wayside_shrine,A shrine often showing a religious depiction. Tag is used also for modern shrines.
historic,boundary_stone,A historic physical marker that identifies a historic boundary
historic,building,Unspecified historic building.
historic,tomb,A structure where somebody has been buried.
historic,monument,"A memorial object, which is especially large, built to remember, show respect to a person or group of people or to commemorate an event."
historic,castle,"Used for various kinds of castles, palaces, fortresses, manors, stately homes, kremlins, shiros and other."
historic,charcoal_pile,Historic site of a charcoal pile. Often still in good condition in hilly forest areas.
historic,shieling,An abandoned mountain pasture
historic,bomb_crater,A bomb crater
historic,manor,Historic manors/mansions having different use today
historic,railway,"Denotes an active or disused railway, or a railway feature of important historic value."
historic,citywalls,A citywall is a fortification used to defend a city.
historic,heritage,A building/area/site/monument officially recognized for its historic or cultural value.
historic,mine,Location of historic underground mine workings for minerals such as coal or lead.
historic,church,A church with a historical value.
historic,mine_shaft,Vertical shaft of a historic mine.
historic,no,
historic,fort,"A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence."
historic,city_gate,A city gate within a city wall.
historic,milestone,A historic marker that shows the distance to important destinations.
historic,house,A historic house.
historic,aircraft,A decommissioned aircraft which generally remains in one place.
historic,cannon,A historic/retired cannon. Usually found on forts or battlefields.
historic,wreck,A nautical craft that has been sunk or destroyed.
historic,hollow_way,"Is a path/way which has over time fallen significantly lower than the land on either side. They are created incrementally by erosion, by water and traffic."
historic,stone,A stone shaped or placed by man with historical value.
historic,roman_road,
historic,tower,This property distinguishes a tower as historic
historic,bunker,
historic,maritime,
historic,monastery,Building/place that is a historically significant monastery.
historic,farm,"A historical farm, kept in its original state."
historic,bridge,
historic,district,A designated historic district.
historic,locomotive,A decommissioned locomotive which generally remains in one place
historic,grave,
historic,naval,
historic,battlefield,The site of a battle or military skirmish in the past.
historic,military,
historic,cemetery,A cemetery with historic significance.
historic,wayside_chapel,"Using this tag is discouraged, use tag:historic=wayside_shrine or tag:amenity=place_of_worship + tag:religion=christian instead."
historic,wall,
historic,quarry,
historic,industrial,
historic,aqueduct,A historic structure to convey water
historic,railway_car,A decommissioned railway car which generally remains in one place
historic,tank,A decommissioned tank which generally remains in one place
historic,technical_monument,
historic,chapel,
historic,lavoir,A disused lavoir mapped for its historical value.
historic,ancient_road,
historic,pillory,A pillory.
historic,road,A road or street that is of historical importance.
historic,ship,A decommissioned ship/submarine which generally remains in one place
historic,watermill,A historic mill using the power of water in its production process.
tunnel,culvert,For a stream/drain/ditch/river passing under a road. Use it on the section of waterway passing under the road.
tunnel,yes,
tunnel,building_passage,"A tunnel passage that goes through/under a building, but is not inside the building itself."
tunnel,flooded,A long (over 100 meters) tunnel where flowing water or other fluid prevent humans from safely walking inside.
tunnel,no,
tunnel,covered,
tunnel,avalanche_protector,A structure intended to protect roads and railways from avalanche in mountains.
tunnel,pipe,
tunnel,passage,
tunnel,cave,
tunnel,1,
tunnel,canal,A tunnel for navigable canals.
tunnel,entrance,
tunnel,crossing,
tunnel,drain,
tunnel,tunnel,
tunnel,-1,
tunnel,-15,
tunnel,air_shaft,
tunnel,proposed,
tunnel,channel,
tunnel,instead,
tunnel,unknown,
tunnel,passageway,
tunnel,colonnade,
tunnel,underpass,
tunnel,bridge,
tunnel,arcade,
tunnel,TRENCH,
tunnel,mining,
tunnel,construction,
tunnel,shaft,
tunnel,penstock,
tunnel,ditch,
tunnel,underground,
tunnel,default,
tunnel,waterway,
tunnel,indoor,
tunnel,C,
tunnel,aqueduct,
tunnel,unfinished,
tunnel,cement,
tunnel,water,
tunnel,stream,
tunnel,x,
tunnel,0,
tunnel,pasangan_batu,
tunnel,building,
tunnel,pipeline,
tunnel,driveway,
tunnel,portal,
tunnel,siphon,
tunnel,service,
tunnel,ventilation_shaft,
tunnel,buried,
tunnel,building_passage-,
tunnel,partially_culvert,
tunnel,service_yard,
tunnel,parking,
tunnel,residential,
route,foot,A signed walking Route
route,hiking,A signed hiking Route
route,walking,
route,bicycle,"Cycle routes or bicycle route are named or numbered or otherwise signed routes. May go along roads, trails or dedicated cycle paths."
highway,bus_stop,A bus stop is a place where public buses stop for passengers.
railway,tram_stop,A tram stop is a place where a passenger can embark or disembark a tram.
railway,station,A railway station.
railway,halt,"A small station, may not have a platform, trains may only stop on request."
public_transport,stop_position,The position on the street or rails where a public transport vehicle stops.
public_transport,platform,The place where passengers are waiting for the public transport vehicles.
